"interaction","name","selected","shared interaction","shared name","start_year"
"Central Committee Member","CCP (Central Committee Member) 鄧小平","false","Central Committee Member","CCP (Central Committee Member) 鄧小平","1945"
"Vice President","All-China Federation of Democratic Women (Vice President) 鄧穎超","false","Vice President","All-China Federation of Democratic Women (Vice President) 鄧穎超","1949"
"Secretary","CCP (Secretary) 鄧小平","false","Secretary","CCP (Secretary) 鄧小平","1948"
"Delegate","All-China Federation of Democratic Women (Delegate) 李德全","false","Delegate","All-China Federation of Democratic Women (Delegate) 李德全","1949"
"Political Bureau Member","CCP (Political Bureau Member) 鄧小平","false","Political Bureau Member","CCP (Political Bureau Member) 鄧小平","1955"
"Vice President","All-China Federation of Democratic Women (Vice President) 李德全","false","Vice President","All-China Federation of Democratic Women (Vice President) 李德全","1949"
"Member","CCP (Member) 鄧小平","false","Member","CCP (Member) 鄧小平","1923"
"Member","Communist Youth League (Member) 鄧穎超","false","Member","Communist Youth League (Member) 鄧穎超","1924"
"Member","CCP (Member) 鄧穎超","false","Member","CCP (Member) 鄧穎超","1924"
"Member","Communist Youth League (Member) 林彪","false","Member","Communist Youth League (Member) 林彪","1926"
"Member","CCP (Member) 鄧穎超","false","Member","CCP (Member) 鄧穎超","1925"
"Head","Communist Youth League (Head) 饒漱石","false","Head","Communist Youth League (Head) 饒漱石","1929"
"Alternate Member","CCP (Alternate Member) 鄧穎超","false","Alternate Member","CCP (Alternate Member) 鄧穎超","1931"
"Director","Communist Youth League (Director) 任弼時","false","Director","Communist Youth League (Director) 任弼時","1925"
"Central Committee Member","CCP (Central Committee Member) 鄧穎超","false","Central Committee Member","CCP (Central Committee Member) 鄧穎超","1956"
"Secretary General","Communist Youth League (Secretary General) 任弼時","true","Secretary General","Communist Youth League (Secretary General) 任弼時","1926"
"Member","CCP (Member) 鄧穎超","false","Member","CCP (Member) 鄧穎超","1958"
"Secretary General","Communist Youth League (Secretary General) 任弼時","false","Secretary General","Communist Youth League (Secretary General) 任弼時","1927"
"Secretary","CCP (Secretary) 鄧中夏","false","Secretary","CCP (Secretary) 鄧中夏","1923"
"Vice Chairman","Liberated Areas Women's Federation (Vice Chairman) 鄧穎超","false","Vice Chairman","Liberated Areas Women's Federation (Vice Chairman) 鄧穎超","1946"
"Secretary","CCP (Secretary) 鄧中夏","false","Secretary","CCP (Secretary) 鄧中夏","1927"
"Director","CCP (Director) 鄧中夏","false","Director","CCP (Director) 鄧中夏","1932"
"Chief","Reorganized Guomindang (Chief) 鄧澤如","false","Chief","Reorganized Guomindang (Chief) 鄧澤如","1914"
"Member","CCP (Member) 鄧子恢","false","Member","CCP (Member) 鄧子恢","1926"
"Director","CCP (Director) 鄧子恢","false","Director","CCP (Director) 鄧子恢","1953"
"Political Liaison Officer","CCP (Political Liaison Officer) 鄧子恢","false","Political Liaison Officer","CCP (Political Liaison Officer) 鄧子恢",
"Member","CCP (Member) 丁玲","false","Member","CCP (Member) 丁玲","1933"
"Delegate","Comintern (Delegate) 鄧中夏","false","Delegate","Comintern (Delegate) 鄧中夏","1928"
"Director","CCP (Director) 董必武","false","Director","CCP (Director) 董必武","1932"
"Delegate","Comintern (Delegate) 康生","false","Delegate","Comintern (Delegate) 康生","1935"
"Spokesman","CCP (Spokesman) 範長江","false","Spokesman","CCP (Spokesman) 範長江","1945"
"Interpreter","Comintern (Interpreter) 王明","false","Interpreter","Comintern (Interpreter) 王明","1928"
"Member","CCP (Member) 高崗","false","Member","CCP (Member) 高崗","1926"
"Representative","Comintern (Representative) 王明","false","Representative","Comintern (Representative) 王明","1930"
"Member","CCP (Member) 関向應","false","Member","CCP (Member) 関向應","1925"
"Member","Comintern (Member) 王明","false","Member","Comintern (Member) 王明","1933"
"Central Committee Member","CCP (Central Committee Member) 関向應","false","Central Committee Member","CCP (Central Committee Member) 関向應","1928"
"Executive Committee Member","All-China Federation of Labor (Executive Committee Member) 鄧中夏","false","Executive Committee Member","All-China Federation of Labor (Executive Committee Member) 鄧中夏","1925"
"Committee Member","CCP (Committee Member) 関向應","false","Committee Member","CCP (Committee Member) 関向應","1930"
"Secretary General","All-China Federation of Labor (Secretary General) 劉少奇","false","Secretary General","All-China Federation of Labor (Secretary General) 劉少奇","1927"
"Secretary","CCP (Secretary) 関向應","false","Secretary","CCP (Secretary) 関向應","1942"
"Chairman","All-China Federation of Labor (Chairman) 劉少奇","false","Chairman","All-China Federation of Labor (Chairman) 劉少奇","1933"
"Central Committee Member","CCP (Central Committee Member) 賀龍","false","Central Committee Member","CCP (Central Committee Member) 賀龍","1945"
"Executive Committee Member","All-China Federation of Labor (Executive Committee Member) 蘇兆徵","false","Executive Committee Member","All-China Federation of Labor (Executive Committee Member) 蘇兆徵","1925"
"Political Bureau Member","CCP (Political Bureau Member) 賀龍","false","Political Bureau Member","CCP (Political Bureau Member) 賀龍","1956"
"Chairman","All-China Federation of Labor (Chairman) 蘇兆徵","false","Chairman","All-China Federation of Labor (Chairman) 蘇兆徵","1926"
"Member","CCP (Member) 何其芳","false","Member","CCP (Member) 何其芳","1940"
"Committee Member","All-China Federation of Labor (Committee Member) 項英","false","Committee Member","All-China Federation of Labor (Committee Member) 項英","1925"
"Member","CCP (Member) 胡也頻","false","Member","CCP (Member) 胡也頻","1930"
"Chairman","All-China Federation of Labor (Chairman) 項英","false","Chairman","All-China Federation of Labor (Chairman) 項英","1928"
"Member","CCP (Member) 黃克誠","false","Member","CCP (Member) 黃克誠","1950"
"Liaison Officer","All-China Federation of Labor (Liaison Officer) 王家祥","false","Liaison Officer","All-China Federation of Labor (Liaison Officer) 王家祥","1928"
"Division Commander","CCP (Division Commander) 黃克誠","false","Division Commander","CCP (Division Commander) 黃克誠","1930"
"Delegate","Profintern (Delegate) 鄧中夏","false","Delegate","Profintern (Delegate) 鄧中夏","1928"
"Military Commander","CCP (Military Commander) 黃克誠","false","Military Commander","CCP (Military Commander) 黃克誠","1941"
"Executive Committee Member","Profintern (Executive Committee Member) 鄧中夏","false","Executive Committee Member","Profintern (Executive Committee Member) 鄧中夏","1928"
"Secretary","CCP (Secretary) 黃克誠","false","Secretary","CCP (Secretary) 黃克誠","1949"
"Executive Committee Member","Profintern (Executive Committee Member) 鄧中夏","false","Executive Committee Member","Profintern (Executive Committee Member) 鄧中夏",
"Central Committee Member","CCP (Central Committee Member) 黃克誠","false","Central Committee Member","CCP (Central Committee Member) 黃克誠","1956"
"Secretariat Member","CCP (Secretariat Member) 黃克誠","false","Secretariat Member","CCP (Secretariat Member) 黃克誠","1956"
"Director","CCP (Director) 康生","false","Director","CCP (Director) 康生","1927"
"Central Committee Member","CCP (Central Committee Member) 康生","false","Central Committee Member","CCP (Central Committee Member) 康生","1928"
"Political Security Bureau Member","CCP (Political Security Bureau Member) 康生","false","Political Security Bureau Member","CCP (Political Security Bureau Member) 康生","1928"
"Candidate Member","CCP (Candidate Member) 康生","false","Candidate Member","CCP (Candidate Member) 康生","1935"
"Candidate Member","CCP (Candidate Member) 康生","false","Candidate Member","CCP (Candidate Member) 康生","1935"
"Member","CCP (Member) 康生","false","Member","CCP (Member) 康生","1937"
"Central Committee Member","CCP (Central Committee Member) 康生","false","Central Committee Member","CCP (Central Committee Member) 康生","1945"
"Secretary","CCP (Secretary) 康生","false","Secretary","CCP (Secretary) 康生","1949"
"Member","CCP (Member) 柯慶施","false","Member","CCP (Member) 柯慶施","1922"
"Secretary","CCP (Secretary) 柯慶施","false","Secretary","CCP (Secretary) 柯慶施","1951"
"Secretary","CCP (Secretary) 柯慶施","false","Secretary","CCP (Secretary) 柯慶施","1952"
"Secretary","CCP (Secretary) 柯慶施","false","Secretary","CCP (Secretary) 柯慶施","1955"
"Vice Chairman","Women's Federation of China (Vice Chairman) 朱德","false","Vice Chairman","Women's Federation of China (Vice Chairman) 朱德","1957"
"Central Committee Member","CCP (Central Committee Member) 柯慶施","false","Central Committee Member","CCP (Central Committee Member) 柯慶施","1956"
"Member","CCP (Member) 柯慶施","false","Member","CCP (Member) 柯慶施","1958"
"Central Committee Member","CCP (Central Committee Member) 李大釗","false","Central Committee Member","CCP (Central Committee Member) 李大釗","1922"
"Member","CCP (Member) 李富春","false","Member","CCP (Member) 李富春","1924"
"Central Committee Member","CCP (Central Committee Member) 李富春","false","Central Committee Member","CCP (Central Committee Member) 李富春","1934"
"Deputy Director","CCP (Deputy Director) 李富春","false","Deputy Director","CCP (Deputy Director) 李富春","1935"
"Director","CCP (Director) 李富春","false","Director","CCP (Director) 李富春","1937"
"Member","CCP (Member) 李富春","false","Member","CCP (Member) 李富春","1948"
"Political Instructor","Training Center for Political Workers (Political Instructor) 朱其華","false","Political Instructor","Training Center for Political Workers (Political Instructor) 朱其華","1938"
"Vice Chairman","CCP (Vice Chairman) 李富春","false","Vice Chairman","CCP (Vice Chairman) 李富春","1948"
"Member","CCP (Member) 李富春","false","Member","CCP (Member) 李富春","1956"
"Member","CCP (Member) 李克農","false","Member","CCP (Member) 李克農","1927"
"Secretary General","CCP (Secretary General) 李克農","false","Secretary General","CCP (Secretary General) 李克農","1932"
"Director","CCP (Director) 李克農","false","Director","CCP (Director) 李克農","1936"
"Deputy Director","CCP (Deputy Director) 李克農","false","Deputy Director","CCP (Deputy Director) 李克農","1938"
"Director","CCP (Director) 李克農","false","Director","CCP (Director) 李克農","1949"
"Political Bureau Member","CCP (Political Bureau Member) 李立三","false","Political Bureau Member","CCP (Political Bureau Member) 李立三","1927"
"Alternate Member","CCP (Alternate Member) 李維漢","false","Alternate Member","CCP (Alternate Member) 李維漢","1928"
"Director","Party Organization (Director) 丁惟汾","false","Director","Party Organization (Director) 丁惟汾","1912"
"Member","CCP (Member) 李維漢","false","Member","CCP (Member) 李維漢","1956"
"Commander","CCP (Commander) 李先念","false","Commander","CCP (Commander) 李先念","1945"
"Secretary","CCP (Secretary) 李先念","false","Secretary","CCP (Secretary) 李先念","1927"
"Central Committee Member","CCP (Central Committee Member) 李先念","false","Central Committee Member","CCP (Central Committee Member) 李先念","1945"
"Deputy Secretary","CCP (Deputy Secretary) 李先念","false","Deputy Secretary","CCP (Deputy Secretary) 李先念","1945"
"Deputy Secretary","CCP (Deputy Secretary) 李先念","false","Deputy Secretary","CCP (Deputy Secretary) 李先念","1953"
"Secretariat Member","CCP (Secretariat Member) 李先念","false","Secretariat Member","CCP (Secretariat Member) 李先念","1958"
"Member","CCP (Member) 李兆麟","false","Member","CCP (Member) 李兆麟","1930"
"Member","CCP (Member) 廖承志","false","Member","CCP (Member) 廖承志","1927"
"Member","CCP (Member) 林彪","false","Member","CCP (Member) 林彪","1927"
"Central Committee Member","CCP (Central Committee Member) 林彪","false","Central Committee Member","CCP (Central Committee Member) 林彪","1945"
"First Secretary","CCP (First Secretary) 林彪","false","First Secretary","CCP (First Secretary) 林彪","1949"
"First Secretary","CCP (First Secretary) 林彪","false","First Secretary","CCP (First Secretary) 林彪","1949"
"Political Bureau Member","CCP (Political Bureau Member) 林彪","false","Political Bureau Member","CCP (Political Bureau Member) 林彪","1955"
"Standing Committee Member","CCP (Standing Committee Member) 林彪","false","Standing Committee Member","CCP (Standing Committee Member) 林彪","1955"
"Member","CCP (Member) 林彪","false","Member","CCP (Member) 林彪","1958"
"Military Commander","Chaomei County (Military Commander) 鄒魯","false","Military Commander","Chaomei County (Military Commander) 鄒魯","1917"
"Vice Chairman","CCP (Vice Chairman) 林彪","false","Vice Chairman","CCP (Vice Chairman) 林彪","1958"
"Member","CCP (Member) 林伯渠","false","Member","CCP (Member) 林伯渠","1938"
"Commissioner","Salt Commissioner (Guangdong-Guangxi) (Commissioner) 鄒魯","false","Commissioner","Salt Commissioner (Guangdong-Guangxi) (Commissioner) 鄒魯","1920"
"Member","CCP (Member) 劉伯承","false","Member","CCP (Member) 劉伯承","1926"
"Assemblyman","Parliament (Assemblyman) 鄒魯","false","Assemblyman","Parliament (Assemblyman) 鄒魯","1913"
"Member","CCP (Member) 劉少奇","false","Member","CCP (Member) 劉少奇","1921"
"Standing Committee Member","Southwest Political Council (Standing Committee Member) 鄒魯","false","Standing Committee Member","Southwest Political Council (Standing Committee Member) 鄒魯","1930"
"Central Committee Member","CCP (Central Committee Member) 劉少奇","false","Central Committee Member","CCP (Central Committee Member) 劉少奇","1927"
"Member","CCP (Member) 劉少奇","false","Member","CCP (Member) 劉少奇","1934"
"Head","CCP (Head) 劉少奇","false","Head","CCP (Head) 劉少奇","1936"
"Member","CCP (Member) 劉少奇","false","Member","CCP (Member) 劉少奇","1943"
"Political Bureau Member","CCP (Political Bureau Member) 劉少奇","false","Political Bureau Member","CCP (Political Bureau Member) 劉少奇","1945"
"Secretary General","CCP (Secretary General) 劉少奇","false","Secretary General","CCP (Secretary General) 劉少奇","1945"
"Central Committee Member","CCP (Central Committee Member) 陸定一","false","Central Committee Member","CCP (Central Committee Member) 陸定一","1945"
"Director","CCP (Director) 陸定一","false","Director","CCP (Director) 陸定一","1949"
"Member","CCP (Member) 羅綺園","false","Member","CCP (Member) 羅綺園","1921"
"Member","CCP (Member) 羅綺園","false","Member","CCP (Member) 羅綺園","1921"
"Central Committee Member","CCP (Central Committee Member) 羅綺園","false","Central Committee Member","CCP (Central Committee Member) 羅綺園","1927"
"Secretary","CCP (Secretary) 羅榮桓","false","Secretary","CCP (Secretary) 羅榮桓","1939"
"Secretary","CCP (Secretary) 羅榮桓","false","Secretary","CCP (Secretary) 羅榮桓","1939"
"Central Committee Member","CCP (Central Committee Member) 羅榮桓","false","Central Committee Member","CCP (Central Committee Member) 羅榮桓","1945"
"Alternate Member","CCP (Alternate Member) 羅瑞卿","false","Alternate Member","CCP (Alternate Member) 羅瑞卿","1945"
"Director","CCP (Director) 羅瑞卿","false","Director","CCP (Director) 羅瑞卿","1948"
"Secretary General","CCP (Secretary General) 羅瑞卿","false","Secretary General","CCP (Secretary General) 羅瑞卿","1961"
"Secretary General","CCP (Secretary General) 羅瑞卿","false","Secretary General","CCP (Secretary General) 羅瑞卿","1961"
"Secretary","CCP (Secretary) 羅瑞卿","false","Secretary","CCP (Secretary) 羅瑞卿","1962"
"Member","CCP (Member) 羅瑞卿","false","Member","CCP (Member) 羅瑞卿","1955"
"Member","CCP (Member) 羅亦農","false","Member","CCP (Member) 羅亦農","1921"
"Alternate Member","CCP (Alternate Member) 羅亦農","false","Alternate Member","CCP (Alternate Member) 羅亦農","1925"
"Central Committee Member","CCP (Central Committee Member) 羅亦農","false","Central Committee Member","CCP (Central Committee Member) 羅亦農","1927"
"Deputy Director","CCP (Deputy Director) 馬超俊","false","Deputy Director","CCP (Deputy Director) 馬超俊","1935"
"Director","CCP (Director) 毛澤東","false","Director","CCP (Director) 毛澤東","1923"
"Central Committee Member","CCP (Central Committee Member) 毛澤東","false","Central Committee Member","CCP (Central Committee Member) 毛澤東","1928"
"Member","CCP (Member) 毛澤民","false","Member","CCP (Member) 毛澤民","1922"
"Director","CCP (Director) 毛澤民","false","Director","CCP (Director) 毛澤民","1931"
"Member","CCP (Member) 聶耳","false","Member","CCP (Member) 聶耳","1933"
"Labor Organizer","CCP (Labor Organizer) 聶榮臻","false","Labor Organizer","CCP (Labor Organizer) 聶榮臻","1927"
"Committee Member","CCP (Committee Member) 聶榮臻","false","Committee Member","CCP (Committee Member) 聶榮臻","1930"
"Central Committee Member","CCP (Central Committee Member) 聶榮臻","false","Central Committee Member","CCP (Central Committee Member) 聶榮臻","1945"
"Central Committee Member","CCP (Central Committee Member) 聶榮臻","false","Central Committee Member","CCP (Central Committee Member) 聶榮臻","1956"
"Member","CCP (Member) 彭德懷","false","Member","CCP (Member) 彭德懷","1928"
"Presidium Member","CCP (Presidium Member) 彭德懷","false","Presidium Member","CCP (Presidium Member) 彭德懷","1945"
"Central Committee Member","CCP (Central Committee Member) 彭德懷","false","Central Committee Member","CCP (Central Committee Member) 彭德懷","1956"
"Political Bureau Member","CCP (Political Bureau Member) 彭德懷","false","Political Bureau Member","CCP (Political Bureau Member) 彭德懷","1956"
"Presidium Member","CCP (Presidium Member) 彭德懷","false","Presidium Member","CCP (Presidium Member) 彭德懷","1956"
"Standing Committee Member","CCP (Standing Committee Member) 彭德懷","false","Standing Committee Member","CCP (Standing Committee Member) 彭德懷","1956"
"Central Committee Member","CCP (Central Committee Member) 彭湃","false","Central Committee Member","CCP (Central Committee Member) 彭湃","1927"
"Member","CCP (Member) 彭述之","false","Member","CCP (Member) 彭述之","1922"
"Central Committee Member","CCP (Central Committee Member) 彭述之","false","Central Committee Member","CCP (Central Committee Member) 彭述之","1925"
"Member","CCP (Member) 彭述之","false","Member","CCP (Member) 彭述之","1931"
"Central Committee Member","CCP (Central Committee Member) 彭真","false","Central Committee Member","CCP (Central Committee Member) 彭真","1945"
"Member","CCP (Member) 彭真","false","Member","CCP (Member) 彭真","1945"
"Presidium Member","CCP (Presidium Member) 彭真","false","Presidium Member","CCP (Presidium Member) 彭真","1945"
"Political Commissar","CCP (Political Commissar) 彭真","false","Political Commissar","CCP (Political Commissar) 彭真","1946"
"Deputy Director","CCP (Deputy Director) 彭真","false","Deputy Director","CCP (Deputy Director) 彭真","1948"
"Political Bureau Member","CCP (Political Bureau Member) 彭真","false","Political Bureau Member","CCP (Political Bureau Member) 彭真","1951"
"Member","CCP (Member) 秦邦憲","false","Member","CCP (Member) 秦邦憲","1925"
"Chairman","National Zhongshan University (Chairman) 董作賓","false","Chairman","National Zhongshan University (Chairman) 董作賓","1927"
"Member","CCP (Member) 秦邦憲","false","Member","CCP (Member) 秦邦憲","1931"
"Dean","National Zhongshan University (Dean) 董作賓","false","Dean","National Zhongshan University (Dean) 董作賓","1927"
"Secretary General","CCP (Secretary General) 秦邦憲","false","Secretary General","CCP (Secretary General) 秦邦憲","1931"
"Chancellor","National Zhongshan University (Chancellor) 鄒魯","false","Chancellor","National Zhongshan University (Chancellor) 鄒魯","1932"
"Secretary General","CCP (Secretary General) 秦邦憲","false","Secretary General","CCP (Secretary General) 秦邦憲","1932"
"Chancellor","National Zhongshan University (Chancellor) 鄒魯","false","Chancellor","National Zhongshan University (Chancellor) 鄒魯","1932"
"Liaison Officer","CCP (Liaison Officer) 秦邦憲","false","Liaison Officer","CCP (Liaison Officer) 秦邦憲","1936"
"Head","CCP (Head) 秦邦憲","false","Head","CCP (Head) 秦邦憲","1938"
"Member","CCP (Member) 秦邦憲","false","Member","CCP (Member) 秦邦憲","1938"
"Member","CCP (Member) 秦邦憲","false","Member","CCP (Member) 秦邦憲","1945"
"Member","CCP (Member) 瞿秋白","false","Member","CCP (Member) 瞿秋白","1922"
"Central Committee Member","CCP (Central Committee Member) 瞿秋白","false","Central Committee Member","CCP (Central Committee Member) 瞿秋白","1923"
"Vice Chairman","CCP (Vice Chairman) 瞿秋白","false","Vice Chairman","CCP (Vice Chairman) 瞿秋白","1925"
